2023,02,100,404-555-1000,24.40,115,323
2023,02,101,404-555-1001,69.87,289,77
2023,02,102,404-555-1002,15.72,110,827
2023,02,103,404-555-1003,34.72,183,328
2023,02,104,404-555-1004,18.39,926,438
2023,02,105,404-555-1005,9.03,136,785
2023,02,106,404-555-1006,94.82,526,198
2023,02,107,404-555-1007,60.78,157,22
2023,02,108,404-555-1008,74.80,533,926
2023,02,109,404-555-1009,24.58,508,850
2023,02,110,404-555-1010,76.61,994,741
2023,02,111,404-555-1011,63.62,654,234
2023,02,112,404-555-1012,72.90,436,21
2023,02,113,404-555-1013,91.66,350,441
2023,02,114,404-555-1014,31.76,318,16
2023,02,115,404-555-1015,25.31,177,307
2023,02,116,404-555-1016,98.10,174,945
2023,02,117,404-555-1017,73.27,389,379
2023,02,118,404-555-1018,26.98,477,904
2023,02,119,404-555-1019,11.97,181,572
2023,02,120,404-555-1020,10.77,675,988
2023,02,121,404-555-1021,21.32,614,429
2023,02,122,404-555-1022,70.67,777,132
2023,02,123,404-555-1023,77.84,436,726
2023,02,124,404-555-1024,83.58,384,51
2023,02,125,404-555-1025,81.99,985,457
2023,02,126,404-555-1026,29.92,556,576
2023,02,127,404-555-1027,96.18,251,429
2023,02,128,404-555-1028,12.11,918,105
2023,02,129,404-555-1029,70.71,284,717
2023,02,130,404-555-1030,1.65,499,323
2023,02,131,404-555-1031,5.67,963,133
2023,02,132,404-555-1032,4.52,884,968
2023,02,133,404-555-1033,74.04,216,148
2023,02,134,404-555-1034,10.09,611,628
2023,02,135,404-555-1035,28.18,975,853
2023,02,136,404-555-1036,66.64,79,620
2023,02,137,404-555-1037,93.54,565,357
2023,02,138,404-555-1038,57.53,819,786
2023,02,139,404-555-1039,4.68,59,665
2023,02,140,404-555-1040,92.19,136,43
2023,02,141,404-555-1041,28.02,35,135
2023,02,142,404-555-1042,74.00,552,478
2023,02,143,404-555-1043,15.88,486,717
2023,02,144,404-555-1044,50.01,556,124
2023,02,145,404-555-1045,54.25,352,991
2023,02,146,404-555-1046,41.60,192,703
2023,02,147,404-555-1047,75.96,747,348
2023,02,148,404-555-1048,0.83,775,508
2023,02,149,404-555-1049,5.74,184,913
2023,02,150,404-555-1050,31.39,805,681
2023,02,151,404-555-1051,76.67,498,233
2023,02,152,404-555-1052,28.24,587,128
2023,02,153,404-555-1053,7.16,389,634
2023,02,154,404-555-1054,4.42,234,737
2023,02,155,404-555-1055,96.10,38,53
2023,02,156,404-555-1056,99.32,110,610
2023,02,157,404-555-1057,25.85,979,639
2023,02,158,404-555-1058,36.30,804,512
2023,02,159,404-555-1059,97.90,786,486
2023,02,160,404-555-1060,79.21,7,746
2023,02,161,404-555-1061,79.88,864,127
2023,02,162,404-555-1062,17.44,719,786
2023,02,163,404-555-1063,21.65,981,104
2023,02,164,404-555-1064,74.16,929,367
2023,02,165,404-555-1065,54.32,630,891
2023,02,166,404-555-1066,23.96,1,819
2023,02,167,404-555-1067,89.71,111,421
2023,02,168,404-555-1068,17.31,385,452
2023,02,169,404-555-1069,38.33,205,878
2023,02,170,404-555-1070,9.67,876,183
2023,02,171,404-555-1071,28.80,16,247
2023,02,172,404-555-1072,99.25,242,770
2023,02,173,404-555-1073,97.93,536,97
2023,02,174,404-555-1074,23.91,516,620
2023,02,175,404-555-1075,70.65,284,918
2023,02,176,404-555-1076,76.33,273,477
2023,02,177,404-555-1077,43.26,19,398
2023,02,178,404-555-1078,48.93,40,389
2023,02,179,404-555-1079,64.35,36,973
2023,02,180,404-555-1080,20.69,891,407
2023,02,181,404-555-1081,61.31,920,533
2023,02,182,404-555-1082,81.23,301,525
2023,02,183,404-555-1083,6.51,492,534
